排名,名称,链接,星级,评分,评价人数
1,肖申克的救赎,https://movie.douban.com/subject/1292052/,5,9.7,2292133
2,霸王别姬,https://movie.douban.com/subject/1291546/,5,9.6,1700479
3,阿甘正传,https://movie.douban.com/subject/1292720/,5,9.5,1723837
4,这个杀手不太冷,https://movie.douban.com/subject/1295644/,4.5,9.4,1904864
5,泰坦尼克号,https://movie.douban.com/subject/1292722/,4.5,9.4,1685661
6,美丽人生,https://movie.douban.com/subject/1292063/,5,9.5,1063973
7,千与千寻,https://movie.douban.com/subject/1291561/,4.5,9.4,1802866
8,辛德勒的名单,https://movie.douban.com/subject/1295124/,5,9.5,879728
9,盗梦空间,https://movie.douban.com/subject/3541415/,4.5,9.3,1671053
10,忠犬八公的故事,https://movie.douban.com/subject/3011091/,4.5,9.4,1145286
11,星际穿越,https://movie.douban.com/subject/1889243/,4.5,9.3,1342784
12,楚门的世界,https://movie.douban.com/subject/1292064/,4.5,9.3,1256156
13,海上钢琴师,https://movie.douban.com/subject/1292001/,4.5,9.3,1358380
14,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,4.5,9.2,1524371
15,机器人总动员,https://movie.douban.com/subject/2131459/,4.5,9.3,1074021
16,放牛班的春天,https://movie.douban.com/subject/1291549/,4.5,9.3,1056981
17,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,4.5,9.2,1227817
18,疯狂动物城,https://movie.douban.com/subject/25662329/,4.5,9.2,1485485
19,无间道,https://movie.douban.com/subject/1307914/,4.5,9.2,1016497
20,熔炉,https://movie.douban.com/subject/5912992/,4.5,9.3,748226
21,教父,https://movie.douban.com/subject/1291841/,4.5,9.3,748244
22,当幸福来敲门,https://movie.douban.com/subject/1849031/,4.5,9.1,1224746
23,龙猫,https://movie.douban.com/subject/1291560/,4.5,9.2,1021447
24,怦然心动,https://movie.douban.com/subject/3319755/,4.5,9.1,1442546
25,控方证人,https://movie.douban.com/subject/1296141/,5,9.6,350777
26,触不可及,https://movie.douban.com/subject/6786002/,4.5,9.2,795314
27,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,4.5,9.2,832682
28,末代皇帝,https://movie.douban.com/subject/1293172/,4.5,9.3,632025
29,活着,https://movie.douban.com/subject/1292365/,4.5,9.3,647118
30,寻梦环游记,https://movie.douban.com/subject/20495023/,4.5,9.1,1261616
31,乱世佳人,https://movie.douban.com/subject/1300267/,4.5,9.3,550379
32,何以为家,https://movie.douban.com/subject/30170448/,4.5,9.1,796004
33,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,4.5,9.2,605024
