year,Beijing,Shanghai,Guiyang,Wuhai,Changsha
2002,4764,4134,1643,1928,1802
2003,4737,5118,1949,2072,2040
2004,5020.93,5855,1801.68,2516.32,2039.09
2005,6788.09,6842,2168.9,3061.77,2313.73
2006,8279.51,7196,2372.66,3689.64,2644.15
2007,11553.26,8361,2901.63,4664.03,3304.74
2008,12418,8195,3149,4781,3288
2009,13799,12840,3762,5329,3648
2010,17782,14464,4410,5746,4418
2011,16851.95,14603.24,5069.52,7192.9,5862.39
2012,17021.63,14061.37,4846.14,7344.05,6100.87
2013,18553,16420,5025,7717,6292
2014,18833,16787,5608,7951,6116
